213	1.40227222	-64.49063716	-61.83839452	7.39889713	5.94777412	-76.78064692	-87.89259403	4404.96208444	1245.03835861	3323.65827929	3724.70009407	169.47363916	378.51784545	0.70868456	0.70868456	675.28556929	0.16017659	1.08893775	1.57823106	0.14678666	437.37440069	609.04939329	399.32759572	91.35549817	0.14815824	0.11095729	-51.78078364	-42.30941193	0.00000000	435.60803548	62.20090991	4974.41508573	3809.14847544	0.00000000	0.00000000	4.03878559	6.34781144	0.02987478
214	1.52595794	-78.97070707	-77.94092980	-5.62093556	9.64142689	-84.17380004	-85.05771717	4941.05440282	1058.40429387	4354.95655674	4840.75387700	820.43518146	175.05740783	0.32561817	0.32561817	792.28013483	1.04739296	1.22268433	1.55752056	1.07185076	865.12319975	435.61209633	460.80114584	96.33954529	0.14930938	0.12907368	-44.41487978	-44.09842118	0.00000000	257.69068399	181.69787232	8666.97415647	4470.44080331	0.00000000	0.00000000	4.92044057	2.95565492	-0.16455500
215	1.94890094	-79.55600216	-65.79507331	7.94915644	-2.84008143	-88.10640018	-88.95553754	4906.55910080	2116.75887234	2059.49640556	3538.80709062	202.22611190	103.10849208	0.14109995	0.14109995	378.64183391	0.76085877	1.23639485	1.86254900	1.42153013	919.23162896	807.80109815	414.03976803	80.85172525	0.10120753	0.06994299	-52.78881811	-42.43084940	0.00000000	372.81650946	406.52828096	869.11249481	314.49514921	0.00000000	0.00000000	4.42204597	3.41066033	-0.10929993
585	1.45469999	-61.54625476	-61.29141850	-15.03485605	1.81830170	-67.97141513	-89.36388828	2172.43962696	2644.76907516	4928.62328604	2133.00165913	787.37249951	844.87431750	0.36959930	0.36959930	149.80954092	0.12467943	1.56903380	0.68723838	1.22619040	122.20723891	726.93911760	34.80741811	31.15733525	0.01320546	0.01920292	-44.38226121	-41.55287387	0.00000000	270.00802670	373.95299453	1572.27540928	1303.12204887	0.00000000	0.00000000	5.78229842	5.69860789	-0.03503897
586	1.97242951	-79.14767757	-76.56966934	-16.03166307	8.03032902	-84.51872047	-82.15711694	4532.16923612	1372.67209327	4703.69951879	2936.73942794	944.65745541	452.88538451	0.94536242	0.94536242	230.30137496	0.14928111	0.27537179	1.38890611	0.53798862	184.09118461	378.63756124	224.61063497	131.42890027	0.10032065	0.06324034	-50.41318519	-46.28979336	0.00000000	455.25795531	64.57708642	1698.63820621	6117.70833196	0.00000000	0.00000000	5.23989733	5.40639733	-0.13383681
886	1.48550594	-72.75311784	-74.72233699	2.23317285	-12.04389744	-81.94588125	-81.66248373	3337.34645803	2587.53543700	3217.13681110	4098.73343869	938.86686454	401.50539680	0.90967245	0.90967245	334.57604998	1.64057625	1.22902616	0.80805030	0.46883736	868.64038001	630.51681357	152.00102298	73.49018300	0.11585791	0.01139009	-41.07300959	-46.94111216	0.00000000	313.11705285	107.94180441	2854.83831207	620.14963041	0.00000000	0.00000000	3.52839543	3.59278276	-0.21762214
887	1.42321062	-64.93063370	-66.80657951	-14.87668490	-4.15685923	-72.65956524	-74.43431938	3097.41116459	2011.45959599	2941.63725895	4267.62395132	674.39331695	150.31499902	0.70176534	0.70176534	528.47800829	0.24059341	1.81490310	0.57860490	0.91419197	194.77545828	578.60960666	406.36578708	81.01683974	0.14531904	0.14082444	-42.40231712	-51.90393101	0.00000000	194.82640493	317.73034968	6046.53971086	107.70007507	0.00000000	0.00000000	3.73248385	3.62326598	-0.11280368
888	1.49339020	-79.12588055	-77.64550371	-3.19668830	-3.86550044	-87.73095177	-89.49467149	2748.11279669	1582.71598471	3114.67270093	4325.97325571	914.41149694	226.53436369	0.28722761	0.28722761	599.51240392	0.45909132	0.70634442	1.55925351	1.42912431	597.32531141	635.58463880	342.41099748	103.83067510	0.11310946	0.06186260	-48.30703565	-40.17733417	0.00000000	336.56555041	488.07630583	4460.16928854	3589.84114769	0.00000000	0.00000000	4.87163073	3.50720822	-0.16140056
889	1.70173776	-65.01740818	-79.21193425	-1.88307180	-15.77467546	-72.57695944	-86.48156615	3149.26887497	2414.15395095	4127.30452052	4822.01277689	858.45410789	402.83861519	0.25700616	0.25700616	828.13619456	0.25854923	1.45022848	1.72686944	0.49555028	658.93124238	959.06592349	472.83216969	85.56451999	0.09016244	0.04140320	-52.05804739	-44.71581077	0.00000000	166.02336847	420.17524434	1434.20290269	397.69207612	0.00000000	0.00000000	2.18069349	3.16947670	-0.07960335
956	1.58703458	-72.28373476	-76.51801471	-2.91649044	-12.90073426	-87.29670747	-89.40303803	2735.92737305	1786.97611708	3598.84762978	3766.87738521	800.65771043	342.31737165	0.62879738	0.62879738	569.74074341	1.48475538	1.76505807	1.05151688	0.36324123	729.59534020	984.28509873	485.93330122	131.85586796	0.13712587	0.13236723	-40.52545237	-45.07950180	0.00000000	163.05251478	329.92156089	1795.67456795	2773.71244634	0.00000000	0.00000000	5.59406143	4.88241952	-0.19585798
1094	1.71039486	-67.74732540	-71.23331245	-7.04735669	5.75841885	-83.64990174	-83.67507450	4407.03962157	2212.82329560	2371.06009637	4281.43122293	853.55887611	411.69300750	0.59573664	0.59573664	682.81545117	0.37226872	1.81610373	0.33562908	0.90926204	134.47591189	389.43783040	54.43509291	40.00127375	0.14786535	0.00537171	-40.72524617	-53.71171331	0.00000000	416.19980490	459.61923534	2922.53418962	2922.95628829	0.00000000	0.00000000	5.79900573	4.80802947	-0.04203739
